Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,Hundred,Fifty,Zero,Fours,Sixes,Cluster
B Fernando ,2015-2015,2,1,1,8,8,0,12,66.66,0,0,0,1,0,0
HMRKB Herath ,2011-2016,17,6,3,8,3,2.66,12,66.66,0,0,0,0,0,0
S Randiv ,2010-2011,7,2,0,8,6,4,6,133.33,0,0,0,1,0,0
BAW Mendis ,2008-2014,39,8,5,8,4,2.66,17,47.05,0,0,0,1,0,0
Mustafizur Rahman ,2015-2016,13,5,1,8,6,2,11,72.72,0,0,2,0,1,0
SS Pathirana ,2016-2016,2,2,0,8,6,4,7,114.28,0,0,0,1,0,0
Rubel Hossain ,2009-2014,11,4,3,8,8,8,13,61.53,0,0,1,1,0,0
Shahadat Hossain ,2006-2013,6,5,3,8,4,4,12,66.66,0,0,1,0,0,0
I Sharma ,2008-2013,14,3,2,8,5,8,9,88.88,0,0,1,1,0,0
BV Vitori ,2012-2016,11,2,2,8,7,0,7,114.28,0,0,0,0,0,0
Al-Amin Hossain ,2013-2016,25,5,3,7,5,3.5,12,58.33,0,0,1,1,0,0
RP Arnold ,2006-2006,1,1,0,7,7,7,7,100,0,0,0,0,0,0
NB Budayair ,2014-2014,4,3,1,7,5,3.5,19,36.84,0,0,1,0,0,0
MA Carberry ,2014-2014,1,1,0,7,7,7,7,100,0,0,0,1,0,0
P Kumar ,2008-2012,10,3,0,7,6,2.33,16,43.75,0,0,1,0,0,0
ND McKenzie ,2006-2009,2,1,1,7,7,0,8,87.5,0,0,0,0,0,0
HM Nicholls ,2016-2016,1,1,0,7,7,7,11,63.63,0,0,0,1,0,0
Qadeer Ahmed ,2015-2016,8,4,3,7,5,7,12,58.33,0,0,1,1,0,0
GA Rogers ,2008-2009,2,2,2,7,6,0,8,87.5,0,0,0,0,0,0
E Schiferli ,2008-2010,7,3,1,7,5,3.5,16,43.75,0,0,1,0,0,0
JN Snape ,2007-2007,1,1,0,7,7,7,11,63.63,0,0,0,0,0,0
Syed Rasel ,2007-2008,8,3,1,7,6,3.5,9,77.77,0,0,0,1,0,0
LV van Beek ,2014-2016,8,4,1,7,4,2.33,15,46.66,0,0,0,0,0,0
A Zampa ,2016-2016,8,2,2,7,5,0,6,116.66,0,0,0,0,0,0
D Bishoo ,2011-2015,5,2,1,6,6,6,6,100,0,0,1,1,0,0
DG Brownlie ,2010-2014,5,5,0,6,5,1.2,18,33.33,0,0,3,1,0,0
RMS Eranga ,2012-2013,3,1,0,6,6,6,7,85.71,0,0,0,1,0,0
NM Hauritz ,2009-2009,3,2,0,6,4,3,10,60,0,0,0,1,0,0
PJ Hughes ,2014-2014,1,1,0,6,6,6,8,75,0,0,0,1,0,0
Javed Ahmadi ,2012-2012,2,1,0,6,6,6,5,120,0,0,0,1,0,0
KO Meth ,2012-2012,2,1,1,6,6,0,6,100,0,0,0,0,0,0
AM Phangiso ,2012-2016,11,2,0,6,4,3,10,60,0,0,0,0,0,0
JA Rudolph ,2006-2006,1,1,1,6,6,0,7,85.71,0,0,0,0,0,0
R Strydom ,2008-2008,4,2,1,6,5,6,7,85.71,0,0,0,0,0,0
SA Abbott ,2014-2014,3,1,0,5,5,5,8,62.5,0,0,0,1,0,0
M Ansari ,2015-2016,11,4,4,5,3,0,10,50,0,0,0,0,0,0
MS Atapattu ,2006-2006,2,1,0,5,5,5,8,62.5,0,0,0,0,0,0
IG Butler ,2009-2013,19,6,5,5,2,5,10,50,0,0,0,0,0,0
N Dickwella ,2016-2016,3,2,0,5,4,2.5,5,100,0,0,0,1,0,0
Karan KC ,2015-2015,5,4,2,5,2,2.5,16,31.25,0,0,1,0,0,0
GD McGrath ,2005-2005,2,1,0,5,5,5,12,41.66,0,0,0,0,0,0
CS Martin ,2007-2008,6,1,1,5,5,0,6,83.33,0,0,0,0,0,0
Mohammad Salman ,2011-2011,1,1,0,5,5,5,6,83.33,0,0,0,0,0,0
T Mupariwa ,2007-2008,4,2,2,5,3,0,3,166.66,0,0,0,0,0,0
N M'shangwe ,2013-2014,5,2,1,5,5,5,4,125,0,0,1,1,0,0
JL Pattinson ,2011-2012,4,2,2,5,5,0,3,166.66,0,0,0,1,0,0
LE Plunkett ,2006-2016,9,3,1,5,4,2.5,6,83.33,0,0,0,0,0,0
GH Bodi ,2007-2007,1,1,0,8,8,8,25,32,0,0,0,0,0,0
TL Chatara ,2010-2016,11,1,0,8,8,8,7,114.28,0,0,0,1,0,0
AS Dean ,2008-2013,2,2,0,8,7,4,10,80,0,0,0,0,0,0
B Fernando ,2015-2015,2,1,1,8,8,0,12,66.66,0,0,0,1,0,0
HMRKB Herath ,2011-2016,17,6,3,8,3,2.66,12,66.66,0,0,0,0,0,0
S Randiv ,2010-2011,7,2,0,8,6,4,6,133.33,0,0,0,1,0,0
BAW Mendis ,2008-2014,39,8,5,8,4,2.66,17,47.05,0,0,0,1,0,0
Mustafizur Rahman ,2015-2016,13,5,1,8,6,2,11,72.72,0,0,2,0,1,0
SS Pathirana ,2016-2016,2,2,0,8,6,4,7,114.28,0,0,0,1,0,0
Rubel Hossain ,2009-2014,11,4,3,8,8,8,13,61.53,0,0,1,1,0,0
Shahadat Hossain ,2006-2013,6,5,3,8,4,4,12,66.66,0,0,1,0,0,0
I Sharma ,2008-2013,14,3,2,8,5,8,9,88.88,0,0,1,1,0,0
BV Vitori ,2012-2016,11,2,2,8,7,0,7,114.28,0,0,0,0,0,0
Al-Amin Hossain ,2013-2016,25,5,3,7,5,3.5,12,58.33,0,0,1,1,0,0
RP Arnold ,2006-2006,1,1,0,7,7,7,7,100,0,0,0,0,0,0
NB Budayair ,2014-2014,4,3,1,7,5,3.5,19,36.84,0,0,1,0,0,0
MA Carberry ,2014-2014,1,1,0,7,7,7,7,100,0,0,0,1,0,0
P Kumar ,2008-2012,10,3,0,7,6,2.33,16,43.75,0,0,1,0,0,0
ND McKenzie ,2006-2009,2,1,1,7,7,0,8,87.5,0,0,0,0,0,0
HM Nicholls ,2016-2016,1,1,0,7,7,7,11,63.63,0,0,0,1,0,0
Qadeer Ahmed ,2015-2016,8,4,3,7,5,7,12,58.33,0,0,1,1,0,0
GA Rogers ,2008-2009,2,2,2,7,6,0,8,87.5,0,0,0,0,0,0
E Schiferli ,2008-2010,7,3,1,7,5,3.5,16,43.75,0,0,1,0,0,0
JN Snape ,2007-2007,1,1,0,7,7,7,11,63.63,0,0,0,0,0,0
Syed Rasel ,2007-2008,8,3,1,7,6,3.5,9,77.77,0,0,0,1,0,1
LV van Beek ,2014-2016,8,4,1,7,4,2.33,15,46.66,0,0,0,0,0,1
A Zampa ,2016-2016,8,2,2,7,5,0,6,116.66,0,0,0,0,0,1
D Bishoo ,2011-2015,5,2,1,6,6,6,6,100,0,0,1,1,0,1
DG Brownlie ,2010-2014,5,5,0,6,5,1.2,18,33.33,0,0,3,1,0,1
RMS Eranga ,2012-2013,3,1,0,6,6,6,7,85.71,0,0,0,1,0,1
NM Hauritz ,2009-2009,3,2,0,6,4,3,10,60,0,0,0,1,0,1
PJ Hughes ,2014-2014,1,1,0,6,6,6,8,75,0,0,0,1,0,1
Javed Ahmadi ,2012-2012,2,1,0,6,6,6,5,120,0,0,0,1,0,1
KO Meth ,2012-2012,2,1,1,6,6,0,6,100,0,0,0,0,0,1
AM Phangiso ,2012-2016,11,2,0,6,4,3,10,60,0,0,0,0,0,1
JA Rudolph ,2006-2006,1,1,1,6,6,0,7,85.71,0,0,0,0,0,1
R Strydom ,2008-2008,4,2,1,6,5,6,7,85.71,0,0,0,0,0,1
SA Abbott ,2014-2014,3,1,0,5,5,5,8,62.5,0,0,0,1,0,1
M Ansari ,2015-2016,11,4,4,5,3,0,10,50,0,0,0,0,0,1
MS Atapattu ,2006-2006,2,1,0,5,5,5,8,62.5,0,0,0,0,0,1
IG Butler ,2009-2013,19,6,5,5,2,5,10,50,0,0,0,0,0,1
N Dickwella ,2016-2016,3,2,0,5,4,2.5,5,100,0,0,0,1,0,1
Karan KC ,2015-2015,5,4,2,5,2,2.5,16,31.25,0,0,1,0,0,1
GD McGrath ,2005-2005,2,1,0,5,5,5,12,41.66,0,0,0,0,0,1
CS Martin ,2007-2008,6,1,1,5,5,0,6,83.33,0,0,0,0,0,1
Mohammad Salman ,2011-2011,1,1,0,5,5,5,6,83.33,0,0,0,0,0,1
T Mupariwa ,2007-2008,4,2,2,5,3,0,3,166.66,0,0,0,0,0,1
N M'shangwe ,2013-2014,5,2,1,5,5,5,4,125,0,0,1,1,0,1
JL Pattinson ,2011-2012,4,2,2,5,5,0,3,166.66,0,0,0,1,0,1
LE Plunkett ,2006-2016,9,3,1,5,4,2.5,6,83.33,0,0,0,0,0,1
RJ Harris ,2010-2010,3,1,1,2,2,0,1,200,0,0,0,0,0,1
BW Hilfenhaus ,2007-2012,7,3,1,2,2,1,10,20,0,0,1,0,0,1
H Hiri ,2016-2016,2,2,0,2,1,1,5,40,0,0,0,0,0,1
JO Holder ,2014-2015,4,1,0,2,2,2,4,50,0,0,0,0,0,1
AJ Ireland ,2006-2006,1,1,1,2,2,0,3,66.66,0,0,0,0,0,1
A Khan ,2009-2009,1,1,0,2,2,2,4,50,0,0,0,0,0,1
RJ Kirtley ,2007-2007,1,1,1,2,2,0,4,50,0,0,0,0,0,1
RAS Lakmal ,2011-2016,8,4,2,2,1,1,4,50,0,0,1,0,0,1
MJ Mason ,2006-2008,3,1,0,2,2,2,2,100,0,0,0,0,0,1
Najeeb Amar ,2014-2014,1,1,0,2,2,2,9,22.22,0,0,0,0,0,1
L Nou ,2015-2015,3,1,1,2,2,0,3,66.66,0,0,0,0,0,1
Shahid Wasif ,2016-2016,1,1,1,2,2,0,4,50,0,0,0,0,0,1
JNK Shannon ,2013-2016,2,2,0,2,2,1,7,28.57,0,0,1,0,0,1
LL Tsotsobe ,2009-2014,23,3,2,2,1,2,10,20,0,0,0,0,0,1
I Udana ,2009-2016,7,3,1,2,1,1,9,22.22,0,0,1,0,0,1
Usman Khan ,2013-2013,2,1,1,2,2,0,3,66.66,0,0,0,0,0,1
R Vinay Kumar ,2010-2013,9,1,1,2,2,0,4,50,0,0,0,0,0,1
UWMBCA Welegedara ,2010-2010,2,1,1,2,2,0,3,66.66,0,0,0,0,0,1
BTJ Wheal ,2016-2016,2,1,1,2,2,0,2,100,0,0,0,0,0,1
CA Young ,2015-2016,11,2,2,2,2,0,5,40,0,0,0,0,0,1
Zaheer Maqsood ,2015-2016,3,1,0,2,2,2,5,40,0,0,0,0,0,1
Aftab Alam ,2012-2015,6,2,2,1,1,0,4,25,0,0,0,0,0,1
JM Anderson ,2007-2009,19,4,3,1,1,1,2,50,0,0,1,0,0,1
TD Astle ,2016-2016,2,1,0,1,1,1,5,20,0,0,0,0,0,1
DE Bernard ,2009-2009,1,1,1,1,1,0,1,100,0,0,0,0,0,1
Bilal Khan ,2015-2016,12,3,2,1,1,1,3,33.33,0,0,1,0,0,1
DE Bollinger ,2011-2014,9,2,2,1,1,0,1,100,0,0,0,0,0,1
DR Brown ,2007-2007,2,1,0,1,1,1,5,20,0,0,0,0,0,1
CD de Lange ,2015-2016,4,1,0,1,1,1,2,50,0,0,0,0,0,1
R Dhawan ,2016-2016,1,1,1,1,1,0,2,50,0,0,0,0,0,1
Dhiman Ghosh ,2008-2008,1,1,0,1,1,1,2,50,0,0,0,0,0,1
HH Dippenaar ,2006-2006,1,1,0,1,1,1,5,20,0,0,0,0,0,1
AC Evans ,2015-2016,11,4,1,1,1,0.33,8,12.5,0,0,3,0,0,1
Hashmatullah Shahidi ,2013-2013,1,1,1,1,1,0,1,100,0,0,0,0,0,1
JS Jesani ,2007-2007,1,1,0,1,1,1,5,20,0,0,0,0,0,1
MBS Jonkman ,2010-2010,3,1,0,1,1,1,8,12.5,0,0,0,0,0,1
GE Kidd ,2010-2010,1,1,1,1,1,0,1,100,0,0,0,0,0,1
VJ Kingma ,2016-2016,1,1,0,1,1,1,4,25,0,0,0,0,0,1
DS Kulkarni ,2016-2016,2,1,1,1,1,0,1,100,0,0,0,0,0,1
J Lewis ,2005-2007,2,2,1,1,1,1,4,25,0,0,0,0,0,1
J Louw ,2008-2009,2,1,1,1,1,0,1,100,0,0,0,0,0,1
SI Mahmood ,2006-2009,4,2,2,1,1,0,2,50,0,0,0,0,0,1
RD McCann ,2012-2012,3,1,0,1,1,1,2,50,0,0,0,0,0,1
J Mulder ,2016-2016,1,1,0,1,1,1,5,20,0,0,0,0,0,1
M Muralitharan ,2006-2010,12,2,0,1,1,0.5,5,20,0,0,1,0,0,1
M Nasim Baras ,2015-2015,3,1,0,1,1,1,2,50,0,0,0,0,0,1
ML Nkala ,2006-2006,1,1,0,1,1,1,3,33.33,0,0,0,0,0,1
MS Panesar ,2007-2007,1,1,0,1,1,1,2,50,0,0,0,0,0,1
SD Parry ,2014-2015,5,1,0,1,1,1,1,100,0,0,0,0,0,2
MDK Perera ,2011-2011,3,2,0,1,1,0.5,6,16.66,0,0,1,0,0,2
DBL Powell ,2007-2007,5,1,1,1,1,0,1,100,0,0,0,0,0,2
EC Rainsford ,2010-2010,2,1,1,1,1,0,2,50,0,0,0,0,0,2
Sandeep Sharma ,2015-2015,2,1,1,1,1,0,1,100,0,0,0,0,0,2
Sayed Shirzad ,2015-2016,3,1,0,1,1,1,2,50,0,0,0,0,0,2
PM Siddle ,2009-2010,2,1,1,1,1,0,1,100,0,0,0,0,0,2
Suhrawadi Shuvo ,2010-2010,1,1,1,1,1,0,3,33.33,0,0,0,0,0,2
EP Thompson ,2008-2008,1,1,1,1,1,0,1,100,0,0,0,0,0,2
RJW Topley ,2015-2016,6,1,1,1,1,0,2,50,0,0,0,0,0,2
TE Tucker ,2008-2008,1,1,0,1,1,1,5,20,0,0,0,0,0,2
I Wardlaw ,2013-2013,4,1,0,1,1,1,3,33.33,0,0,0,0,0,2
G Wijekoon ,2007-2007,3,2,1,1,1,1,5,20,0,0,1,0,0,2
Yamin Ahmadzai ,2015-2015,2,1,1,1,1,0,1,100,0,0,0,0,0,2
Aizaz Cheema ,2011-2012,5,1,1,0,0,0,3,0,0,0,0,0,0,2
MS Aulakh ,2012-2013,3,1,0,0,0,0,2,0,0,0,1,0,0,2
CT Bancroft ,2016-2016,1,1,1,0,0,0,0,0,0,0,0,0,0,2
IDR Bradshaw ,2006-2006,1,1,1,0,0,0,0,0,0,0,0,0,0,2
DR Briggs ,2012-2014,7,1,1,0,0,0,0,0,0,0,0,0,0,2
JJ Bumrah ,2016-2016,21,2,1,0,0,0,2,0,0,0,1,0,0,2
AF Buurman ,2010-2010,4,2,0,0,0,0,4,0,0,0,2,0,0,2
PP Chawla ,2010-2012,7,1,0,0,0,0,1,0,0,0,1,0,0,2
DO Christian ,2011-2011,2,1,0,0,0,0,2,0,0,0,1,0,0,2
SS Cottrell ,2014-2015,6,1,0,0,0,0,1,0,0,0,1,0,0,2
A Dananjaya ,2012-2013,5,1,1,0,0,0,0,0,0,0,0,0,0,2
N Pradeep ,2016-2016,1,1,0,0,0,0,1,0,0,0,1,0,0,2
SM Harwood ,2007-2009,3,1,1,0,0,0,0,0,0,0,0,0,0,2
T Henderson ,2006-2006,1,1,0,0,0,0,2,0,0,0,1,0,0,2
KC Hodsoll ,2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0,2
Iftikhar Ahmed ,2016-2016,1,1,1,0,0,0,0,0,0,0,0,0,0,2
Imran Khan ,2015-2015,3,1,0,0,0,0,1,0,0,0,1,0,0,2
Izatullah Dawlatzai ,2012-2012,4,1,1,0,0,0,3,0,0,0,0,0,0,2
S Keshvani ,2010-2010,2,1,1,0,0,0,1,0,0,0,0,0,0,2
RN Lewis ,2008-2008,1,1,0,0,0,0,4,0,0,0,1,0,0,2
J Little ,2016-2016,1,1,0,0,0,0,3,0,0,0,1,0,0,2
AJ McKay ,2010-2010,2,1,0,0,0,0,1,0,0,0,1,0,0,2
GI Maiden ,2008-2008,3,1,0,0,0,0,1,0,0,0,1,0,0,2
A Mehmood ,2016-2016,2,1,1,0,0,0,1,0,0,0,0,0,0,2
Mohammad Kashif ,2010-2010,3,1,1,0,0,0,0,0,0,0,0,0,0,2
Mohammad Qazi ,2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0,2
HJC Mol ,2008-2008,4,1,0,0,0,0,1,0,0,0,1,0,0,2
JK Mukhiya ,2014-2015,4,1,1,0,0,0,0,0,0,0,0,0,0,2
T Muzarabani ,2015-2016,9,1,1,0,0,0,2,0,0,0,0,0,0,2
A Nel ,2005-2007,2,1,1,0,0,0,2,0,0,0,0,0,0,2
AA Noffke ,2007-2008,2,1,0,0,0,0,0,0,0,0,1,0,0,2
MM Patel ,2011-2011,3,1,0,0,0,0,1,0,0,0,1,0,0,2
PDRL Perera ,2006-2006,2,2,2,0,0,0,0,0,0,0,0,0,0,2
DM Richards ,2009-2009,1,1,0,0,0,0,1,0,0,0,1,0,0,2
K Santokie ,2011-2014,12,1,1,0,0,0,0,0,0,0,0,0,0,2
A Shahzad ,2010-2011,3,1,1,0,0,0,3,0,0,0,0,0,0,2
Shakeel Ansar ,2012-2012,2,1,0,0,0,0,1,0,0,0,1,0,0,2
MS Sinclair ,2005-2007,2,2,0,0,0,0,5,0,0,0,2,0,0,2
IS Sodhi ,2014-2016,10,1,1,0,0,0,0,0,0,0,0,0,0,2
Tanveer Ahmed ,2016-2016,2,1,0,0,0,0,2,0,0,0,1,0,0,2
M Zondeki ,2006-2006,1,1,0,0,0,0,1,0,0,0,1,0,0,2
Aamer Yamin ,2015-2015,1,0,0,0,0,0,0,0,0,0,0,0,0,2
YA Abdulla ,2009-2009,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Abdur Rauf ,2008-2008,1,0,0,0,0,0,0,0,0,0,0,0,0,2
GW Aldridge ,2011-2011,1,0,0,0,0,0,0,0,0,0,0,0,0,2
TR Ambrose ,2008-2008,1,0,0,0,0,0,0,0,0,0,0,0,0,2
S Aravind ,2015-2015,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Arsalan Qadir ,2010-2010,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Asad Ali ,2013-2013,2,0,0,0,0,0,0,0,0,0,0,0,0,2
P Awana ,2012-2012,2,0,0,0,0,0,0,0,0,0,0,0,0,2
LS Baker ,2008-2009,3,0,0,0,0,0,0,0,0,0,0,0,0,2
L Balaji ,2012-2012,5,0,0,0,0,0,0,0,0,0,0,0,0,2
TC Bastiampillai ,2010-2010,2,0,0,0,0,0,0,0,0,0,0,0,0,2
MD Bates ,2012-2012,3,0,0,0,0,0,0,0,0,0,0,0,0,2
N Boje ,2005-2005,1,0,0,0,0,0,0,0,0,0,0,0,0,2
SM Boland ,2016-2016,3,0,0,0,0,0,0,0,0,0,0,0,0,2
CG Burnett ,2013-2013,1,0,0,0,0,0,0,0,0,0,0,0,0,2
DK Butler ,2006-2006,1,0,0,0,0,0,0,0,0,0,0,0,0,2
YS Chahal ,2016-2016,3,0,0,0,0,0,0,0,0,0,0,0,0,2
SR Clark ,2006-2007,9,0,0,0,0,0,0,0,0,0,0,0,0,2
D Daesrath ,2013-2013,1,0,0,0,0,0,0,0,0,0,0,0,0,2
LA Dawson ,2016-2016,1,0,0,0,0,0,0,0,0,0,0,0,0,2
M de Lange ,2012-2015,6,0,0,0,0,0,0,0,0,0,0,0,0,2
SI de Saram ,2009-2009,1,0,0,0,0,0,0,0,0,0,0,0,0,2
BJ Diamanti ,2009-2009,1,0,0,0,0,0,0,0,0,0,0,0,0,2
PS Eaglestone ,2010-2010,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Ehsan Nawaz ,2014-2016,2,0,0,0,0,0,0,0,0,0,0,0,0,2
ST Gabriel ,2013-2013,2,0,0,0,0,0,0,0,0,0,0,0,0,2
WT Gavera ,2015-2015,3,0,0,0,0,0,0,0,0,0,0,0,0,2
B Geeves ,2009-2009,1,0,0,0,0,0,0,0,0,0,0,0,0,2
DM Gondaria ,2013-2013,2,0,0,0,0,0,0,0,0,0,0,0,0,2
D Gough ,2005-2006,2,0,0,0,0,0,0,0,0,0,0,0,0,2
HF Gurney ,2014-2014,2,0,0,0,0,0,0,0,0,0,0,0,0,2
SJ Harmison ,2005-2006,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Hasan Ali ,2016-2016,3,0,0,0,0,0,0,0,0,0,0,0,0,2
JR Hazlewood ,2013-2016,7,0,0,0,0,0,0,0,0,0,0,0,0,2
Iftikhar Anjum ,2007-2009,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Joginder Sharma ,2007-2007,4,0,0,0,0,0,0,0,0,0,0,0,0,2
Jubair Hossain ,2015-2015,1,0,0,0,0,0,0,0,0,0,0,0,0,2
TP Kamungozi ,2014-2014,1,0,0,0,0,0,0,0,0,0,0,0,0,2
M Kartik ,2007-2007,1,0,0,0,0,0,0,0,0,0,0,0,0,2
B Laughlin ,2009-2013,3,0,0,0,0,0,0,0,0,0,0,0,0,2
E Leie ,2015-2015,2,0,0,0,0,0,0,0,0,0,0,0,0,2
RDM Leverock ,2008-2008,2,0,0,0,0,0,0,0,0,0,0,0,0,2
ML Lewis ,2006-2006,2,0,0,0,0,0,0,0,0,0,0,0,0,2
NM Lyon ,2016-2016,1,0,0,0,0,0,0,0,0,0,0,0,0,2
GT Main ,2015-2016,4,0,0,0,0,0,0,0,0,0,0,0,0,2
Mansoor Amjad ,2008-2008,1,0,0,0,0,0,0,0,0,0,0,0,0,2
BB McCullum ,2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91,2
TM Dilshan ,2006-2016,80,79,12,1889,104,28.19,1567,120.54,1,13,10,223,33,2
MJ Guptill ,2009-2016,61,59,7,1806,101,34.73,1374,131.44,1,10,2,169,76,2
Umar Akmal ,2009-2016,82,77,14,1690,94,26.82,1375,122.9,0,8,8,122,55,2
DA Warner ,2009-2016,63,63,3,1686,90,28.1,1208,139.56,0,12,5,162,74,2
V Kohli ,2010-2016,45,41,12,1657,90,57.13,1223,135.48,0,16,0,176,32,2
JP Duminy ,2007-2016,70,64,21,1654,96,38.46,1338,123.61,0,9,6,122,56,2
Mohammad Hafeez ,2006-2016,77,75,4,1614,86,22.73,1403,115.03,0,9,5,175,39,2
Shoaib Malik ,2006-2016,82,76,20,1548,75,27.64,1359,113.9,0,5,1,131,32,2
CH Gayle ,2006-2016,50,47,4,1519,117,35.32,1044,145.49,2,13,2,130,98,2
DPMD Jayawardene ,2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33,2
SR Watson ,2006-2016,58,56,6,1462,124,29.24,1006,145.32,1,10,3,115,83,2
EJG Morgan ,2009-2016,64,63,13,1460,85,29.2,1115,130.94,0,7,3,113,62,2
H Masakadza ,2006-2016,50,50,2,1413,93,29.43,1180,119.74,0,10,0,131,51,2
Shahid Afridi ,2006-2016,98,90,12,1405,54,18.01,932,150.75,0,4,8,102,73,2
KC Sangakkara ,2006-2014,56,53,9,1382,78,31.4,1156,119.55,0,8,2,139,20,2
AB de Villiers ,2006-2016,71,68,10,1368,79,23.58,1037,131.91,0,8,5,116,48,2
Mohammad Shahzad ,2010-2016,48,48,2,1367,118,29.71,1002,136.42,1,9,3,143,55,2
RG Sharma ,2007-2016,62,55,12,1364,106,31.72,1054,129.41,1,11,3,120,51,2
AD Hales ,2011-2016,45,45,5,1257,116,31.42,939,133.86,1,7,4,135,37,2
LRPL Taylor ,2006-2016,73,65,13,1256,63,24.15,1046,120.07,0,5,4,83,48,2
SK Raina ,2006-2016,62,52,11,1203,101,29.34,905,132.92,1,3,2,110,41,2
MN Samuels ,2007-2016,51,49,8,1186,85,28.92,1016,116.73,0,9,0,106,48,2
KP Pietersen ,2005-2013,37,36,5,1176,79,37.93,831,141.51,0,7,1,119,32,2
Tamim Iqbal ,2007-2016,52,52,5,1154,103,24.55,1007,114.59,1,4,3,125,27,2
